in1,in2,in3,in4,in5,in6,in7,out1,out2,out3,out4,out5,out6
1040.566,8.33296,295.5,252.0,99.1568,42.58636733,8.837410911,5614.4,14.007,0.5266,3296.5,593.72,2106.1
1034.889,8.01815,295.5,252.0,99.1412,42.75755447,9.050082492,5610.3,14.01,0.51453,3300.4,592.66,2082.3
1024.854,7.77008,295.5,252.0,99.1364,42.91845065,9.247961606,5615.0,14.016,0.50844,3286.3,591.05,2060.5
1015.871,8.55714,295.5,252.0,99.1313,43.16326057,9.476538162,5645.5,14.016,0.56634,3200.5,591.06,2089.6
1006.752,8.11307,295.5,252.245,99.1177,43.35865838,9.6936803,5644.3,14.022,0.54765,3201.4,589.34,2057.4
997.314,8.11745,295.5,253.4872,99.1172,43.73456597,9.960348738,5658.1,14.028,0.55902,3167.5,588.4,2037.6
988.701,8.14195,295.5,253.5016,99.1121,43.88553599,10.17400339,5668.2,14.031,0.56943,3134.7,587.34,2031.3
979.18,8.11496,295.5,253.5,99.1028,43.88970079,10.34749825,5679.0,14.036,0.57584,3102.3,586.03,2023.9
971.826,8.1931,295.5,253.5,99.0937,44.25659241,10.6130652,5687.9,14.038,0.59092,3069.1,585.23,2019.4
960.266,8.32869,295.5,253.5,99.0937,44.34205827,10.80868073,5706.6,14.043,0.60968,3016.3,583.77,2017.3
951.83,8.04242,295.5,253.5,99.09,44.32271037,10.98191818,5709.7,14.047,0.59875,3006.5,582.27,2001.3
943.427,7.64325,295.5,253.5,99.0806,44.28368893,11.16571582,5710.7,14.052,0.58087,3005.1,580.66,1981.4
935.801,8.13072,295.5,253.5,99.0724,44.18972364,11.33084538,5731.7,14.054,0.61909,2940.4,580.12,1996.5
928.945,8.17155,295.5,253.5,99.0703,44.21526245,11.49740355,5741.4,14.056,0.6287,2911.8,579.19,1994.1
920.187,7.8514,295.5,253.5,99.0696,44.08617368,11.65032566,5747.4,14.06,0.61473,2903.3,577.6,1979.0
913.615,7.94332,295.5,253.5,99.0626,44.17999893,11.85341335,5758.0,14.062,0.62848,2872.0,576.77,1978.5
907.144,7.93194,295.5,253.5,99.0488,44.0357067,11.9916515,5767.5,14.064,0.63331,2849.0,575.81,1975.9
897.879,8.3195,295.5,253.5,49.25617,44.26790103,12.21838802,6514.2,13.898,0.69362,2446.4,588.67,1904.8
888.736,8.27788,295.5,253.5,80.34662,44.43090878,12.43954726,5843.5,14.038,0.68622,2703.5,580.46,1902.8
881.172,7.93128,295.5,254.9375,80.03665,44.60280227,12.69424175,5912.3,14.033,0.67445,2694.7,578.51,1873.9
871.71,7.84846,295.5,255.0031,80.01474,44.70909496,12.83934244,5955.9,14.032,0.67662,2665.8,576.94,1865.8
865.28,8.1099,295.5,255.0,80.01563,44.49807889,13.03174677,5971.4,14.034,0.70011,2626.7,577.27,1872.3
858.684,8.26923,295.5,255.0,80.01563,44.68711445,13.23322081,5994.6,14.035,0.719,2592.6,577.06,1873.1
854.501,8.52733,295.5,255.0,80.01563,44.58549723,13.37375154,6001.0,14.037,0.74131,2561.6,577.56,1878.9
850.211,8.37247,295.5,255.0,80.00293,44.43882783,13.5681082,6034.3,14.035,0.73556,2555.5,576.46,1873.3
843.74,7.68609,295.5,255.0,80.00597,44.35838725,13.69562459,6104.9,14.028,0.69313,2574.9,572.86,1854.0
836.8162,7.8085,295.5,255.0,80.00047,44.17238414,13.84185556,6130.4,14.028,0.70665,2543.1,572.43,1857.0
828.9252,8.11903,295.5,255.0,80.00575,44.27607397,14.00407529,6149.9,14.03,0.73548,2495.8,572.57,1863.0
824.6438,8.19492,295.5,255.0,79.9946,44.42985419,14.29211708,6176.4,14.029,0.7491,2474.6,572.32,1863.1
816.3677,7.63543,295.5,255.0,79.99213,44.29522766,14.39399827,6247.4,14.022,0.71517,2480.1,569.01,1853.8
810.5912,8.38299,295.5,255.0,79.99219,44.29569249,14.59184832,6235.3,14.028,0.7743,2413.4,571.02,1867.0
803.9413,8.32184,295.5,255.0,79.99219,44.23964244,14.80009746,6275.9,14.025,0.77685,2393.4,569.85,1867.0
796.415,7.81123,295.5,255.0,79.99219,44.21771814,14.95528795,6344.2,14.019,0.74693,2398.3,566.91,1862.9
790.4739,7.90302,295.5,256.3214,79.06882,44.10610344,15.06688367,6396.2,14.012,0.75986,2365.8,567.06,1854.8
784.1461,7.95723,295.5,256.5052,78.48598,44.05616226,15.22856893,6439.9,14.008,0.76982,2336.2,566.64,1855.2
779.1668,7.98504,295.5,256.5,78.49179,43.8881255,15.35808253,6464.5,14.007,0.77577,2317.3,566.04,1858.8
770.1292,7.77768,295.5,256.5,78.4922,43.94773987,15.58906731,6524.7,14.001,0.76974,2297.7,563.92,1864.1
753.6937,8.32343,295.5,256.5,78.49219,44.71935878,16.01300687,6584.1,13.998,0.82768,2205.0,563.33,1877.9
735.4017,8.77097,295.5,256.5,78.49219,44.87371028,16.26191414,6649.1,13.994,0.87451,2113.6,561.78,1893.0
729.8384,8.54519,295.5,256.5,78.49219,43.93953385,16.09367089,6674.2,13.992,0.85332,2111.5,560.32,1901.3
721.2784,8.02429,295.5,256.5,78.49219,43.63901967,16.18998127,6740.1,13.985,0.81945,2114.9,557.24,1916.4
711.5768,7.79633,295.5,256.5,78.49219,43.72910468,16.37208817,6800.1,13.978,0.81089,2094.9,554.83,1932.5
703.0165,7.9394,295.5,256.5,78.49219,43.5882518,16.48523067,6833.3,13.975,0.82679,2057.0,553.97,1943.7
693.4144,7.81767,295.5,256.5,78.49219,43.66863027,16.67575302,6887.5,13.969,0.82596,2030.9,551.93,1960.7
687.366,8.32165,295.5,256.5,78.49219,43.70634238,16.89453572,6899.9,13.968,0.87038,1978.0,552.65,1963.5
678.9028,8.05005,295.5,256.5,78.49219,43.84522711,17.12375927,6957.9,13.961,0.85861,1964.9,550.3,1982.3
672.5065,7.8013,295.5,256.5,78.49219,44.08412099,17.35924894,7006.3,13.955,0.84817,1957.0,548.3,1998.1
665.3173,8.05541,295.5,257.513,78.49219,43.75847502,17.48224078,7033.8,13.952,0.87221,1916.9,548.24,2002.1
657.4904,8.38451,295.5,258.0066,78.49219,44.05984847,17.75328234,7067.6,13.948,0.90689,1868.0,548.01,2008.9
649.1357,8.26938,295.5,258.0003,78.49219,44.16775741,18.02398794,7118.6,13.942,0.90725,1845.8,546.15,2026.9
640.9578,8.41463,295.5,258.0,78.49219,44.11449509,18.19465873,7153.8,13.939,0.92489,1809.0,545.1,2039.0
634.7064,8.37707,295.5,258.0,78.49219,44.16749809,18.37272347,7188.6,13.935,0.92826,1789.9,543.83,2051.7
625.9423,7.85025,295.5,258.0,78.49219,43.93693029,18.46614216,7246.2,13.927,0.89302,1793.9,540.49,2078.6
619.3682,7.9426,295.5,258.0,78.49219,43.58021986,18.50612627,7269.4,13.925,0.90238,1767.5,539.63,2088.6
611.7983,7.97517,295.5,258.0,78.49219,43.78633729,18.76344589,7310.3,13.921,0.91349,1739.5,538.26,2103.1
604.3503,7.8534,295.5,258.0,78.49219,44.02826361,19.03967727,7356.7,13.915,0.91328,1721.5,536.36,2120.6
597.392,7.93724,295.5,258.0,78.49219,44.1236085,19.28169268,7391.9,13.912,0.92738,1693.3,535.27,2132.6
589.2265,8.49579,295.5,258.0,78.49219,44.02433832,19.4440233,7413.2,13.911,0.97677,1634.3,535.17,2135.9
580.1417,8.18112,295.5,258.0,78.49219,44.2482819,19.6766683,7469.8,13.904,0.96115,1624.3,532.44,2161.1
572.3028,8.37758,295.5,258.0,78.49219,44.20558269,19.82086714,7500.8,13.902,0.98236,1589.1,531.23,2171.8
564.2488,8.28191,295.5,258.0,78.49219,44.0370263,19.96216478,7540.2,13.897,0.9804,1571.1,529.22,2189.6
558.0994,8.11892,295.5,258.3609,78.49219,43.85246944,20.10248937,7573.6,13.893,0.97231,1562.5,527.55,2204.5
549.8369,8.05442,295.5,259.4934,78.49219,44.12045024,20.39904565,7622.1,13.887,0.97702,1541.0,525.78,2220.2
543.2988,8.21473,295.5,259.5013,78.49219,44.06963146,20.47216202,7646.0,13.886,0.99339,1513.9,524.61,2229.4
536.3396,8.1054,295.5,259.5,78.49219,44.0820837,20.66973613,7683.2,13.881,0.99136,1500.6,522.66,2246.1
528.7866,8.1856,295.5,259.5,78.49219,44.02432688,20.7747581,7714.1,13.878,1.0025,1476.0,520.92,2259.4
522.1138,8.01008,295.5,259.5,78.49219,44.0693985,20.97919526,7751.9,13.874,0.99535,1467.6,518.83,2277.5
512.777,8.39733,295.5,259.5,78.49219,44.22975035,21.25340342,7790.1,13.872,1.0353,1422.2,516.96,2286.8
505.2328,8.61573,295.5,259.5,78.49219,44.38769974,21.54810988,7826.1,13.87,1.062,1391.2,515.0,2296.5
498.4518,8.17852,295.5,259.5,78.49219,44.3288086,21.75486243,7868.2,13.863,1.0333,1397.3,512.57,2321.8
489.5363,6.09467,295.5,259.5,78.49219,44.43021615,21.90876274,7957.7,13.843,0.87984,1484.3,504.03,2392.4
478.5651,5.8381,295.5,259.5,78.49219,45.19462333,22.43881715,8030.3,13.834,0.87667,1468.7,500.02,2422.8
468.9904,11.13267,295.5,259.5,78.49588,44.5975454,22.33391944,7951.1,13.875,1.3295,1178.8,506.37,2295.9
465.5179,9.73989,295.5,259.5,78.51229,44.10481579,22.21531467,7977.5,13.862,1.1872,1241.6,502.64,2346.6
456.8566,8.59731,295.5,259.5,78.49478,44.40910653,22.74005137,8051.8,13.846,1.103,1278.7,499.27,2397.6
448.8173,8.47414,295.5,259.5,78.51459,44.5932017,22.90588422,8092.5,13.842,1.0998,1267.1,496.42,2418.4
439.8261,7.59058,295.5,260.9375,78.51567,44.23142777,22.91447527,8135.8,13.83,1.03,1291.5,492.73,2458.0
432.0555,8.43674,295.5,261.0031,78.51563,43.99757996,23.05919376,8148.7,13.833,1.1032,1232.5,490.81,2452.5
425.3517,8.26929,295.5,261.0,78.51563,44.10896451,23.18876656,8182.5,13.828,1.0949,1226.5,488.19,2471.5
417.6156,7.33338,295.5,261.0,78.51563,43.99420394,23.39540123,8232.3,13.815,1.0261,1256.1,483.58,2511.1
409.1443,8.26311,295.5,261.0,78.51563,43.90902688,23.46542444,8246.9,13.82,1.1055,1192.5,481.75,2506.4
401.4019,8.06505,295.5,261.0,78.51563,43.89107506,23.67635688,8283.9,13.814,1.0961,1185.9,478.37,2528.0
394.4669,7.8736,295.5,261.0,78.51563,43.72139849,23.7574944,8311.8,13.808,1.0842,1181.0,475.22,2547.4
385.9358,8.20026,295.5,261.0,78.51563,43.84681843,23.89215183,8343.4,13.807,1.1174,1147.4,472.15,2558.0
387.4427,8.1374,295.5,261.0,4.37692,42.99990343,23.60185289,10932.0,12.974,0.94634,677.63,562.02,2016.2
387.1475,7.9508,295.5,261.0,99.0507,42.64865395,23.26350008,8150.5,13.835,1.1301,1174.9,446.25,2661.5
387.1168,7.91807,295.5,261.0,99.0519,42.74844807,23.30523897,8154.6,13.834,1.1281,1176.4,446.46,2662.9
387.8525,8.03684,295.5,261.0,99.0493,42.68800139,23.27268917,8146.3,13.836,1.1378,1172.1,446.1,2657.2
387.8743,7.81002,295.5,261.0,99.0472,42.75212421,23.38690226,8157.2,13.833,1.1197,1183.2,447.3,2665.0
388.0684,7.97789,295.5,261.0,99.0469,42.68491526,23.39888028,8151.1,13.835,1.1351,1175.2,446.5,2658.7
388.2552,7.94037,295.5,261.0,99.0469,42.93406248,23.39946477,8155.8,13.835,1.1317,1177.5,446.88,2660.3
384.602,8.2278,295.5,261.0,99.0469,42.98296404,23.42160034,8164.8,13.835,1.1604,1155.3,444.17,2658.0
382.1102,8.127,295.5,261.0,99.0469,42.98522762,23.4569035,8179.0,13.832,1.1532,1154.9,443.74,2666.6
378.9442,8.07862,296.9375,260.1758,99.2919,42.8162099,23.72345892,8186.6,13.834,1.1657,1150.0,443.18,2671.7
373.8215,8.4827,297.0031,259.4947,100.543,42.40735845,23.85260809,8183.3,13.836,1.2158,1119.4,438.35,2671.7
369.0537,8.30384,297.0127,258.5761,101.796,41.83926093,23.90382716,8189.0,13.832,1.2086,1118.6,436.59,2690.6
364.78,8.35321,298.4546,257.9938,102.9007,40.76998875,23.59865524,8154.1,13.838,1.2221,1107.8,434.77,2694.7
362.2649,7.77962,298.5027,256.9866,103.5803,39.87405271,23.51478745,8154.7,13.831,1.1701,1131.6,436.57,2719.9
358.0276,7.76329,298.5,256.4934,105.0086,39.35705201,23.49744091,8150.3,13.83,1.1766,1124.0,434.61,2731.3
352.4292,8.1124,299.9375,255.4867,106.1104,38.88460832,23.56317694,8134.6,13.836,1.228,1094.9,431.77,2726.9
347.7,8.53151,300.0031,254.9934,107.0818,38.09514283,23.51998343,8114.1,13.84,1.2803,1064.5,427.84,2721.2
341.3922,7.81506,300.3609,253.6783,108.0921,37.4374865,23.61606245,8140.4,13.828,1.2191,1087.0,429.67,2757.7
337.8022,8.18037,301.4934,253.4948,109.3314,36.88301479,23.59618529,8110.7,13.836,1.2669,1061.4,427.36,2748.3
331.9964,8.28071,301.5013,252.2757,109.8683,36.31844184,23.68645324,8116.7,13.833,1.2889,1044.3,425.15,2754.6
327.4252,8.61247,301.9814,251.9938,111.1045,35.89454512,23.76618381,8102.9,13.837,1.3355,1018.4,422.57,2749.2
322.303,8.82204,302.9981,250.7231,112.5563,35.16071013,23.80475947,8079.9,13.841,1.3724,997.69,420.95,2746.2
315.8452,8.75048,303.001,250.4943,113.5492,34.41713156,23.70607443,8077.4,13.837,1.3717,988.06,419.2,2759.7
311.1304,8.48357,304.013,249.2232,114.1459,33.9040494,23.71324606,8080.1,13.834,1.3518,991.46,419.69,2773.3
305.7119,8.14322,304.5066,248.9943,115.5786,33.12504563,23.73485888,8077.9,13.828,1.3253,997.05,419.75,2792.4
299.8015,8.26873,304.5003,247.5624,116.9207,32.41669971,23.68098621,8065.9,13.827,1.3494,979.39,417.4,2795.2
296.3017,8.31814,305.4234,247.4969,117.5173,31.70073775,23.59045542,8040.9,13.83,1.3602,969.56,416.76,2795.9
289.7088,8.74659,306.0062,246.0625,118.6576,31.08838958,23.62167802,8021.2,13.834,1.4208,935.09,413.62,2786.0
287.1806,8.36383,306.0004,245.9842,119.8896,30.38669278,23.55539284,8011.6,13.828,1.3839,949.17,414.16,2802.9
281.9982,7.95726,307.013,244.5454,121.0936,29.62667715,23.53241279,8007.7,13.823,1.3506,958.94,415.12,2820.3
278.549,7.96146,307.5066,244.4973,121.6704,28.96648399,23.49768058,7988.9,13.824,1.3577,951.44,414.41,2823.5
272.1248,7.42236,307.5003,243.0625,123.0906,28.48959535,23.66811824,8019.3,13.811,1.3155,965.21,414.29,2851.0
265.4406,7.85825,308.7767,242.636,124.0148,28.04702054,23.8477167,8000.9,13.816,1.3765,928.82,411.82,2838.6
262.4099,7.77614,309.0057,241.5066,124.9378,27.48439082,23.92697476,7992.5,13.815,1.3787,926.91,411.4,2842.3
257.4176,7.88269,309.0001,241.1378,126.1752,26.95867372,24.07784315,7984.8,13.813,1.4045,911.2,409.37,2843.4
252.7132,8.11237,310.2768,240.0066,127.4285,26.37616878,24.0741642,7953.2,13.818,1.4409,890.31,408.17,2833.6
248.5426,8.04573,310.5057,239.6378,127.9613,25.67343298,24.10845901,7941.5,13.816,1.4443,884.78,407.37,2840.4
244.4078,8.21967,310.5001,238.5066,129.1982,25.21251321,24.31249676,7932.3,13.816,1.4805,867.79,405.48,2835.6
241.0281,8.24339,311.7768,238.1378,130.6289,24.49005707,24.21839863,7889.7,13.82,1.491,859.89,405.26,2832.5
235.4225,8.63982,312.0057,237.0066,131.5387,23.65658999,24.12874956,7849.3,13.825,1.5498,829.31,402.2,2821.0
232.369,8.06113,312.0001,236.1745,132.4763,22.98985953,24.05397769,7853.3,13.815,1.4934,852.21,403.53,2846.0
228.1559,7.63333,313.4375,235.4947,133.7221,22.29869452,23.92440273,7835.3,13.813,1.4532,865.08,404.97,2862.2
223.3668,7.47308,313.5031,234.6753,135.0127,21.45049026,23.72796146,7809.4,13.809,1.4462,864.23,404.08,2872.9
219.6718,7.45084,313.5,233.9947,135.6155,20.55060518,23.51928014,7774.5,13.809,1.4527,858.44,403.18,2877.2
217.9316,7.48508,314.9375,233.0761,136.7513,19.92884668,23.45546487,7727.4,13.815,1.4645,853.62,403.72,2869.4
213.3379,7.10484,315.0031,232.4938,138.0359,19.27916365,23.49840312,7728.1,13.807,1.4371,863.57,403.45,2889.4
209.5292,7.18729,315.0,231.5762,139.0877,18.67650001,23.7202064,7713.3,13.806,1.4657,851.4,402.09,2887.7
203.6724,7.49574,316.4375,230.9938,139.7632,18.06134773,23.61550606,7668.8,13.813,1.5094,823.53,400.57,2876.7
198.8062,8.24026,316.5031,230.1754,141.1858,17.61273139,23.92413803,7628.6,13.82,1.6172,776.11,395.94,2848.2
193.3043,8.25244,316.8609,229.4947,142.5606,16.97105166,24.09770987,7612.2,13.818,1.6394,763.97,394.53,2851.4
188.425,8.21722,317.9934,228.2753,143.1479,16.43225877,24.29067701,7603.1,13.818,1.6544,754.95,394.34,2852.7
184.0135,7.86948,318.0013,227.9938,144.2747,15.77426346,24.24890533,7596.2,13.811,1.6266,763.44,394.44,2872.2
179.7605,8.62325,318.3609,226.7231,145.57,14.9330804,24.09376745,7519.0,13.823,1.7313,718.4,389.85,2840.7
175.1519,8.40786,319.4934,226.4943,146.6337,14.20370225,24.04063717,7489.4,13.822,1.7175,719.34,390.23,2850.5
171.253,8.49914,319.5013,225.1785,147.3101,13.54400105,23.93570461,7466.6,13.822,1.743,707.57,388.61,2848.9
165.3629,8.32365,319.8609,224.9948,148.7414,12.87472421,23.96834895,7452.4,13.817,1.739,704.1,387.89,2862.1
160.6156,8.19325,320.9934,223.5624,149.656,12.11911057,23.66104057,7417.1,13.818,1.7336,701.75,387.84,2866.9
156.2905,8.29186,321.0013,223.4969,150.5936,11.4832236,23.70014033,7396.3,13.818,1.7599,687.88,385.97,2867.6
152.7024,8.71845,321.9233,222.0625,151.8389,10.7490855,23.65089946,7347.0,13.827,1.8298,659.97,383.25,2846.3
148.4737,8.30918,322.5062,168.5788,153.1766,7.620176505,23.50102646,7388.5,13.831,2.909,693.92,390.87,2788.7
143.2866,8.98933,322.5004,0.0,153.6223,0.0,23.16778218,7800.2,13.792,2.6248,720.78,408.18,3007.8
138.3548,8.3264,323.4234,0.0,154.8622,0.0,23.43358133,7793.9,13.779,2.5946,743.86,406.3,2979.7
136.5788,8.49891,324.0062,0.0,156.2929,0.0,23.26809416,7813.4,13.779,2.6285,732.65,405.55,2985.0
132.1435,8.02445,324.0004,0.0,157.302,0.0,23.20708125,7824.0,13.769,2.5976,748.51,403.08,2965.5
126.4039,8.55018,324.9234,0.0,157.8984,0.0,23.28547821,7844.3,13.77,2.7027,708.05,401.92,2979.6
122.4814,8.09533,325.5062,0.0,159.3364,0.0,23.27542101,7850.8,13.76,2.681,724.01,399.67,2963.3
118.2587,8.9453,325.5004,0.0,160.6796,0.0,23.2960092,7901.7,13.766,2.8191,671.64,398.59,2986.4
113.4892,8.6254,326.7767,0.0,161.1508,0.0,23.2950527,7891.5,13.76,2.8141,677.38,397.16,2974.2
109.0402,9.56425,327.0057,0.0,162.3985,0.0,23.29620871,7945.6,13.768,2.967,620.6,395.42,3002.2
105.3352,9.75669,327.0001,0.0,163.6449,0.0,23.18778672,7980.8,13.767,3.016,604.05,393.45,3004.1
100.6426,10.14424,327.8633,0.0,163.9281,0.0,23.27171727,7994.5,13.77,3.1034,574.1,391.43,3016.3
103.0419,9.86703,327.0127,0.0,163.4405,0.0,22.94524658,7992.0,13.767,3.0267,594.19,392.51,3005.4
105.35,8.96445,326.9988,0.0,162.4238,0.0,22.67891784,7947.5,13.758,2.876,644.93,394.48,2977.8
109.6179,8.2367,326.5186,0.0,161.1966,0.0,22.59042466,7906.2,13.752,2.7463,691.21,395.5,2961.4
113.317,7.5889,325.5019,0.0,160.4276,0.0,22.47790036,7884.5,13.746,2.6324,733.32,395.58,2953.2
117.5608,7.14854,325.499,0.0,159.4085,0.0,22.39516467,7852.6,13.746,2.5457,765.65,396.55,2946.6
122.6754,6.81188,324.5767,0.0,157.9657,0.0,22.5292573,7826.9,13.747,2.4732,793.66,397.72,2945.9
126.5641,7.07737,323.9938,0.0,157.0714,0.0,22.60126502,7820.8,13.754,2.4791,787.45,399.76,2946.2
130.3626,7.29403,323.9996,0.0,156.3865,0.0,22.71477591,7807.9,13.761,2.4862,783.67,401.75,2947.0
134.4395,7.86806,323.0766,0.0,154.9686,0.0,22.5654495,7810.0,13.772,2.5114,762.03,404.47,2960.9
139.1828,7.46295,322.4938,0.0,153.5993,0.0,22.61624335,7782.9,13.774,2.4313,792.85,405.75,2951.9
141.8957,7.34036,322.4996,0.0,153.0094,0.0,22.53992577,7769.1,13.776,2.3959,805.33,406.73,2948.7
144.5414,7.90579,321.487,0.0,151.8782,0.0,22.7298916,7773.5,13.784,2.4479,779.96,408.57,2966.1
152.5335,7.28468,320.9934,0.0,150.5406,0.0,22.47082539,7739.9,13.789,2.3144,831.03,410.81,2949.8
156.7186,7.36898,320.9997,0.0,149.4265,0.0,22.7664405,7719.9,13.794,2.3129,834.02,412.8,2953.7
160.4968,7.63673,319.6786,0.0,148.8366,0.0,22.92740787,7725.2,13.799,2.3274,827.66,414.21,2964.2
165.1698,8.00277,319.4948,0.0,147.3993,0.0,22.93637116,7709.1,13.808,2.3406,817.62,416.7,2979.3
170.1308,8.10877,319.5,0.0,146.309,0.0,23.08593351,7688.8,13.813,2.3329,821.86,418.87,2986.9
173.9411,8.07063,318.2232,0.0,145.5659,0.0,23.11791843,7689.6,13.816,2.3054,832.1,419.87,2984.7
176.9986,8.06174,317.9943,0.0,144.3291,0.0,23.37050296,7677.5,13.818,2.2956,837.49,421.32,2984.0
176.7815,8.2298,317.9999,0.0,144.3093,0.0,23.63792083,7679.7,13.818,2.3295,827.19,421.27,2989.6
176.6319,8.70671,318.0,0.0,144.311,0.0,23.67986959,7682.7,13.822,2.39,801.86,420.77,3006.2
176.384,8.10314,318.0,0.0,144.3105,0.0,23.64409103,7680.5,13.817,2.3161,832.9,421.14,2984.7
177.1748,8.09533,318.0,0.0,144.3104,0.0,23.74509308,7678.6,13.817,2.317,834.78,421.41,2985.2
176.7132,8.16293,318.0,0.0,144.3088,0.0,23.67146513,7679.8,13.818,2.3233,830.42,421.26,2987.1
176.5154,8.25301,318.0,0.0,144.3106,0.0,23.72557713,7680.9,13.818,2.3376,825.06,421.18,2990.1
177.3043,8.34781,318.0,0.0,144.3107,0.0,23.73922883,7678.9,13.819,2.3466,821.87,421.41,2994.3
176.4441,8.06949,317.6391,0.0,144.3155,0.0,23.47536882,7684.2,13.817,2.3025,835.49,420.98,2982.7
175.5248,8.07509,316.5066,0.0,144.3148,0.0,23.46139482,7701.7,13.815,2.3026,833.39,420.09,2979.4
174.4311,8.67936,315.222,0.0,144.3198,0.0,23.18205549,7724.2,13.819,2.3617,800.83,418.05,2994.9
174.4191,8.55949,314.9943,0.0,144.3309,0.0,22.78901433,7726.5,13.819,2.3274,808.4,418.06,2991.3
173.3208,8.07437,313.5624,0.0,144.3385,0.0,22.52705255,7743.6,13.815,2.257,832.37,417.58,2975.1
171.9379,8.80708,312.5735,0.0,144.3438,0.0,22.26608156,7767.9,13.819,2.3337,792.6,414.07,2992.2
171.0692,8.78757,311.9938,0.0,144.3537,0.0,21.82746095,7779.6,13.819,2.3114,793.3,413.04,2991.2
170.3895,8.70453,310.7228,0.0,144.36,0.0,21.83498683,7795.5,13.817,2.3011,796.43,412.07,2987.9
169.3842,8.46606,310.1334,0.0,144.3657,0.0,21.4783336,7803.9,13.815,2.2577,807.76,412.2,2984.2
169.275,8.48355,309.0065,0.0,144.3749,0.0,21.19729178,7819.9,13.815,2.2438,807.91,410.82,2987.0
168.3085,8.40259,308.0753,0.0,144.375,0.0,21.05331408,7833.1,13.814,2.2289,810.67,409.95,2988.5
166.5552,8.60726,307.4938,0.0,144.375,0.0,20.89064944,7849.0,13.814,2.2498,797.05,407.36,2991.2
164.3341,9.04049,306.0621,0.0,144.3858,0.0,20.70616183,7881.1,13.814,2.2966,771.38,401.05,2996.7
168.5896,8.96176,305.9969,0.0,144.3873,0.0,20.29782651,7875.8,13.818,2.2519,785.98,402.49,3000.9
172.8255,8.93056,306.0,0.0,142.9849,0.0,20.46132698,7847.6,13.82,2.2319,795.32,404.49,2995.5
174.619,9.01505,306.0,0.0,142.0467,0.0,20.59913128,7833.9,13.821,2.2359,793.85,404.49,2992.0
180.2459,8.92191,306.0,0.0,141.354,0.0,20.63753441,7811.6,13.824,2.2035,810.32,407.2,2991.4
183.7635,8.76007,305.0766,0.0,139.8971,0.0,20.82159621,7797.3,13.823,2.1705,824.92,409.08,2984.2
188.9985,8.7481,304.4938,0.0,139.021,0.0,21.0451515,7783.1,13.824,2.1565,835.92,410.35,2981.8
192.4574,9.44698,304.4996,0.0,138.3109,0.0,21.14038239,7776.0,13.83,2.2291,807.28,403.84,2987.4
198.0291,8.97385,304.5,0.0,136.873,0.0,21.2324259,7746.1,13.828,2.151,842.15,410.87,2975.8
202.7794,8.67672,304.5,0.0,135.9021,0.0,21.20528993,7725.5,13.828,2.0948,867.24,415.24,2969.3
206.7248,9.08486,304.5,0.0,135.3085,0.0,21.18441131,7712.9,13.833,2.128,854.73,411.76,2972.8
210.0152,9.31049,304.5,0.0,133.888,0.0,21.23685834,7697.1,13.836,2.1404,849.23,410.06,2965.8
